controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,"[0.0, 20.0)",18.876340192328378,34.84133616156015,8.571653636763326,0.7578125,0.0015625,-23.658931329091708,382792600.9010459,321.41641698329767
openloop,"[20.0, 40.0)",19.530335144485733,34.841477470861754,8.833296123045475,0.5625,0.0,-25.551131267531208,356477056.35999995,0.0
openloop,"[40.0, 60.0)",19.989995070758773,34.841640691285875,8.83377848884466,0.75,0.0,-25.07377355960343,356477056.35999995,0.0
openloop,"[60.0, 80.0)",,,,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,,,
pid,"[0.0, 20.0)",13.58061702805111,25.573769696839857,3.188522109158265,1.0,0.015625,-11.769139137209375,383727237.71316814,385.7258636240209
pid,"[20.0, 40.0)",14.103613681787722,25.574307963100352,3.259755100453367,0.8125,0.015625,-13.30086878224109,356477056.35999995,0.0
pid,"[40.0, 60.0)",14.578196334788913,25.573886835184204,3.2599088636235924,1.0,0.015625,-12.838105198412507,356477056.35999995,0.0
pid,"[60.0, 80.0)",,,,,,,,
pid,"[80.0, 1000000000.0)",,,,,,,,
agentic,"[0.0, 20.0)",12.694980316895778,25.223081674694427,3.8212800547349937,1.0,0.038802083333333334,-11.516260371630773,380998353.6929868,351.0419171503029
agentic,"[20.0, 40.0)",13.23951686480408,25.2206681249944,3.906093400661808,0.8125,0.027083333333333334,-13.083110265465889,356477056.35999995,0.0
agentic,"[40.0, 60.0)",13.706849707113841,25.221053073185885,3.9076058550249946,1.0,0.02734375,-12.614455562138836,356477056.35999995,0.0
agentic,"[60.0, 80.0)",,,,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,,,
